benchmark,array_size_bytes,array_size_mb,stride,stride_bytes,num_accesses,row_hit_count,row_miss_count,row_conflict_count,row_hit_rate,row_miss_rate,row_conflict_rate,locality_score,unique_rows_accessed,unique_banks_accessed,trace_file,seed,iterations,element_size
random,16777216,16.000000,0,0,100000,748,16,99236,0.007480,0.000160,0.992360,-0.984880,2048,16,/home/junon/RowScope/traces/random_16MB_100000acc_seed42.trace,42,1,4
random,1048576,1.000000,0,0,100000,12262,16,87722,0.122620,0.000160,0.877220,-0.754600,129,16,/home/junon/RowScope/traces/random_1MB_100000acc_seed42.trace,42,1,4
random,4194304,4.000000,0,0,100000,3069,16,96915,0.030690,0.000160,0.969150,-0.938460,513,16,/home/junon/RowScope/traces/random_4MB_100000acc_seed42.trace,42,1,4
random,67108864,64.000000,0,0,100000,202,16,99782,0.002020,0.000160,0.997820,-0.995800,8193,16,/home/junon/RowScope/traces/random_64MB_100000acc_seed42.trace,42,1,4
sequential,16777216,16.000000,1,4,12582912,12576765,16,6131,0.999511,0.000001,0.000487,0.999024,2049,16,/home/junon/RowScope/traces/sequential_16MB_stride1_seed0_iter3.trace,0,3,4
sequential,1048576,1.000000,1,4,786432,786048,16,368,0.999512,0.000020,0.000468,0.999044,128,16,/home/junon/RowScope/traces/sequential_1MB_stride1_seed0_iter3.trace,0,3,4
sequential,4194304,4.000000,1,4,3145728,3144189,16,1523,0.999511,0.000005,0.000484,0.999027,513,16,/home/junon/RowScope/traces/sequential_4MB_stride1_seed0_iter3.trace,0,3,4
sequential,67108864,64.000000,1,4,50331648,50307069,16,24563,0.999512,0.000000,0.000488,0.999024,8193,16,/home/junon/RowScope/traces/sequential_64MB_stride1_seed0_iter3.trace,0,3,4
stride,16777216,16.000000,1024,4096,100000,49975,16,50009,0.499750,0.000160,0.500090,-0.000340,2049,16,/home/junon/RowScope/traces/stride_16MB_stride1024_100000acc.trace,0,1,4
stride,16777216,16.000000,128,512,100000,93746,16,6238,0.937460,0.000160,0.062380,0.875080,2049,16,/home/junon/RowScope/traces/stride_16MB_stride128_100000acc.trace,0,1,4
stride,16777216,16.000000,16,64,100000,99218,16,766,0.992180,0.000160,0.007660,0.984520,782,16,/home/junon/RowScope/traces/stride_16MB_stride16_100000acc.trace,0,1,4
stride,16777216,16.000000,1,4,100000,99950,16,34,0.999500,0.000160,0.000340,0.999160,50,16,/home/junon/RowScope/traces/stride_16MB_stride1_100000acc.trace,0,1,4
stride,16777216,16.000000,256,1024,100000,87493,16,12491,0.874930,0.000160,0.124910,0.750020,2049,16,/home/junon/RowScope/traces/stride_16MB_stride256_100000acc.trace,0,1,4
stride,16777216,16.000000,2,8,100000,99901,16,83,0.999010,0.000160,0.000830,0.998180,99,16,/home/junon/RowScope/traces/stride_16MB_stride2_100000acc.trace,0,1,4
stride,16777216,16.000000,32,128,100000,98437,16,1547,0.984370,0.000160,0.015470,0.968900,1563,16,/home/junon/RowScope/traces/stride_16MB_stride32_100000acc.trace,0,1,4
stride,16777216,16.000000,4,16,100000,99804,16,180,0.998040,0.000160,0.001800,0.996240,196,16,/home/junon/RowScope/traces/stride_16MB_stride4_100000acc.trace,0,1,4
stride,16777216,16.000000,512,2048,100000,74987,16,24997,0.749870,0.000160,0.249970,0.499900,2049,16,/home/junon/RowScope/traces/stride_16MB_stride512_100000acc.trace,0,1,4
stride,16777216,16.000000,64,256,100000,96873,16,3111,0.968730,0.000160,0.031110,0.937620,2049,16,/home/junon/RowScope/traces/stride_16MB_stride64_100000acc.trace,0,1,4
stride,16777216,16.000000,8,32,100000,99608,16,376,0.996080,0.000160,0.003760,0.992320,392,16,/home/junon/RowScope/traces/stride_16MB_stride8_100000acc.trace,0,1,4
working_set,134217728,128.000000,1,4,100663296,100614141,16,49139,0.999512,0.000000,0.000488,0.999024,16385,16,/home/junon/RowScope/traces/working_set_128MB_iter3.trace,0,3,4
working_set,16777216,16.000000,1,4,12582912,12576765,16,6131,0.999511,0.000001,0.000487,0.999024,2049,16,/home/junon/RowScope/traces/working_set_16MB_iter3.trace,0,3,4
working_set,1048576,1.000000,1,4,786432,786045,16,371,0.999508,0.000020,0.000472,0.999036,129,16,/home/junon/RowScope/traces/working_set_1MB_iter3.trace,0,3,4
working_set,2097152,2.000000,1,4,1572864,1572093,16,755,0.999510,0.000010,0.000480,0.999030,257,16,/home/junon/RowScope/traces/working_set_2MB_iter3.trace,0,3,4
working_set,33554432,32.000000,1,4,25165824,25153533,16,12275,0.999512,0.000001,0.000488,0.999024,4097,16,/home/junon/RowScope/traces/working_set_32MB_iter3.trace,0,3,4
working_set,4194304,4.000000,1,4,3145728,3144189,16,1523,0.999511,0.000005,0.000484,0.999027,513,16,/home/junon/RowScope/traces/working_set_4MB_iter3.trace,0,3,4
working_set,524284,0.499996,1,4,393213,393021,16,176,0.999512,0.000041,0.000448,0.999064,64,16,/home/junon/RowScope/traces/working_set_524284B_iter3.trace,0,3,4
working_set,67108860,63.999996,1,4,50331645,50307066,16,24563,0.999512,0.000000,0.000488,0.999024,8193,16,/home/junon/RowScope/traces/working_set_67108860B_iter3.trace,0,3,4
working_set,8388608,8.000000,1,4,6291456,6288381,16,3059,0.999511,0.000003,0.000486,0.999025,1025,16,/home/junon/RowScope/traces/working_set_8MB_iter3.trace,0,3,4
